rhoc,M,R,Lambda
4.205109586091538750e+14,7.879858897240419324e-01,1.361003195000030530e+01,2.760896137057307715e+04
4.227772643931725000e+14,7.950475699640523475e-01,1.361003195000030530e+01,2.636471642238028653e+04
4.250435701771911250e+14,8.020327053438591758e-01,1.360003200000030432e+01,2.519452274058540934e+04
4.273098759612097500e+14,8.089522019529986618e-01,1.360003200000030432e+01,2.409395707101781591e+04
4.295761817452283125e+14,8.158080409420939150e-01,1.360003200000030432e+01,2.305756098298805955e+04
4.318424875292469375e+14,8.225953198864532911e-01,1.360003200000030432e+01,2.208120697558650136e+04
4.341087933132655000e+14,8.293064893931555437e-01,1.359003205000030334e+01,2.116031715078482739e+04
4.363750990972841250e+14,8.362844597004243097e-01,1.359003205000030334e+01,2.024980879916804406e+04
4.386414048813027500e+14,8.433686319551771948e-01,1.359003205000030334e+01,1.937020169813586836e+04
4.409077106653213750e+14,8.503781703090921296e-01,1.359003205000030334e+01,1.854145009054311595e+04
4.431740164493400000e+14,8.573181696477280012e-01,1.358003210000030236e+01,1.776002388816766324e+04
4.454403222333586250e+14,8.641939198051837856e-01,1.358003210000030236e+01,1.702310737089181202e+04
4.477066280173771875e+14,8.709978116894375733e-01,1.358003210000030236e+01,1.632788178988293112e+04
4.499729338013958125e+14,8.777354832291981435e-01,1.358003210000030236e+01,1.567020989392226329e+04
4.522392395854144375e+14,8.845411262272487862e-01,1.358003210000030236e+01,1.503605477911458001e+04
4.545055453694330000e+14,8.916277301347460549e-01,1.357003215000030139e+01,1.440655767994217058e+04
4.567718511534516250e+14,8.986397504873965270e-01,1.357003215000030139e+01,1.381222149402169634e+04
4.590381569374702500e+14,9.055927661420910546e-01,1.357003215000030139e+01,1.325124404970195246e+04
4.613044627214888750e+14,9.124688922884025555e-01,1.357003215000030139e+01,1.272056815587308301e+04
4.635707685055075000e+14,9.192784071022254144e-01,1.357003215000030139e+01,1.221870170778632928e+04
4.658370742895261250e+14,9.260142482813303877e-01,1.357003215000030139e+01,1.174331444671193822e+04
4.681033800735446875e+14,9.326916910507935254e-01,1.356003220000030041e+01,1.129315997567277736e+04
4.703696858575633125e+14,9.397156729990374657e-01,1.356003220000030041e+01,1.084021762128660157e+04
4.726359916415818750e+14,9.467185142053031743e-01,1.356003220000030041e+01,1.040883147784603352e+04
4.749022974256005000e+14,9.536489586398460006e-01,1.356003220000030041e+01,1.000056573370557635e+04
4.771686032096191250e+14,9.605147104858176021e-01,1.356003220000030041e+01,9.613840847558700261e+03
4.794349089936377500e+14,9.673140150330494791e-01,1.356003220000030041e+01,9.247405604279305408e+03
4.817012147776563750e+14,9.740384242665088843e-01,1.355003225000029943e+01,8.900255614778117888e+03
4.839675205616750000e+14,9.807044666499233898e-01,1.355003225000029943e+01,8.570424218635966099e+03
4.862338263456936250e+14,9.875304627859934348e-01,1.355003225000029943e+01,8.246951158105835930e+03
4.885001321297121875e+14,9.944985544452744630e-01,1.355003225000029943e+01,7.929953691361990423e+03
4.907664379137308125e+14,1.001397694228523427e+00,1.355003225000029943e+01,7.629455752727495565e+03
4.930327436977493750e+14,1.008240894132848009e+00,1.355003225000029943e+01,7.344635126281796147e+03
4.952990494817680000e+14,1.015003562113365954e+00,1.354003230000029845e+01,7.074229611092499908e+03
4.975653552657866250e+14,1.021704818923200975e+00,1.354003230000029845e+01,6.817267377903649503e+03
4.998316610498052500e+14,1.028337461242418982e+00,1.354003230000029845e+01,6.573284555795718916e+03
5.020979668338238750e+14,1.034959906077365099e+00,1.354003230000029845e+01,6.339252584241654404e+03
5.043642726178425000e+14,1.041885261309218880e+00,1.354003230000029845e+01,6.104086399136454929e+03
5.066305784018611250e+14,1.048740079048009921e+00,1.354003230000029845e+01,5.880613384881843558e+03
5.088968841858796875e+14,1.055534150175134300e+00,1.353003235000029747e+01,5.668618577089485370e+03
5.111631899698983125e+14,1.062256742938986864e+00,1.353003235000029747e+01,5.466863316776116335e+03
5.134294957539168750e+14,1.068913651913508067e+00,1.353003235000029747e+01,5.274997584291534622e+03
5.156958015379355000e+14,1.075499666669488041e+00,1.353003235000029747e+01,5.092332557368166817e+03
5.179621073219541250e+14,1.082018436405108419e+00,1.353003235000029747e+01,4.918328578493488749e+03
5.202284131059727500e+14,1.088779026162079111e+00,1.353003235000029747e+01,4.744902213373177801e+03
5.224947188899913750e+14,1.095579566312563591e+00,1.352003240000029471e+01,4.577300863310821114e+03
5.247610246740100000e+14,1.102312599416596983e+00,1.352003240000029471e+01,4.417656945513092069e+03
5.270273304580286250e+14,1.108977891300909846e+00,1.352003240000029471e+01,4.265697831923192098e+03
5.292936362420471875e+14,1.115570052601381867e+00,1.352003240000029471e+01,4.120967064830627351e+03
5.315599420260658125e+14,1.122098911314870051e+00,1.352003240000029471e+01,3.982883648313019876e+03
5.338262478100843750e+14,1.128566049418641359e+00,1.352003240000029471e+01,3.851194285290792322e+03
5.360925535941030000e+14,1.135108338481660040e+00,1.351003245000029374e+01,3.722797958471316178e+03
5.383588593781216250e+14,1.141833393026879362e+00,1.351003245000029374e+01,3.595716752162880766e+03
5.406251651621402500e+14,1.148489219112434290e+00,1.351003245000029374e+01,3.474503754617064260e+03
5.428914709461588750e+14,1.155075577129039743e+00,1.351003245000029374e+01,3.358936784295096004e+03
5.451577767301775000e+14,1.161602538191361722e+00,1.351003245000029374e+01,3.248716286576513539e+03
5.474240825141961250e+14,1.168055876531142401e+00,1.351003245000029374e+01,3.143505272725666600e+03
5.496903882982146875e+14,1.174448819582712966e+00,1.350003250000029276e+01,3.043001707357986106e+03
5.519566940822333125e+14,1.180777778433289349e+00,1.350003250000029276e+01,2.946845309256114433e+03
5.542229998662518750e+14,1.187409621960976880e+00,1.350003250000029276e+01,2.849646649898174473e+03
5.564893056502705000e+14,1.193976403742959214e+00,1.350003250000029276e+01,2.756824423338061479e+03
5.587556114342891250e+14,1.200481822698410639e+00,1.350003250000029276e+01,2.668160717866419418e+03
5.610219172183077500e+14,1.206924715568508333e+00,1.349003255000029178e+01,2.583423178149349951e+03
5.632882230023263750e+14,1.213296565162049978e+00,1.349003255000029178e+01,2.502466072253218954e+03
5.655545287863450000e+14,1.219607257770682240e+00,1.349003255000029178e+01,2.424979224906462150e+03
5.678208345703635000e+14,1.225849653173580078e+00,1.349003255000029178e+01,2.350850124894686815e+03
5.700871403543822500e+14,1.232249785317206081e+00,1.349003255000029178e+01,2.277402959073322108e+03
5.723534461384007500e+14,1.238722615118956094e+00,1.348003260000029080e+01,2.205681174911461312e+03
5.746197519224195000e+14,1.245127664030558856e+00,1.348003260000029080e+01,2.137065169277815585e+03
5.768860577064380000e+14,1.251471137662693467e+00,1.348003260000029080e+01,2.071407334130678464e+03
5.791523634904566250e+14,1.257747094109063157e+00,1.348003260000029080e+01,2.008587062448857296e+03
5.814186692744752500e+14,1.263960713309009387e+00,1.348003260000029080e+01,1.948368302390157169e+03
5.836849750584938750e+14,1.270111099041304481e+00,1.347003265000028982e+01,1.890684954078808005e+03
5.859512808425125000e+14,1.276273563683681056e+00,1.347003265000028982e+01,1.834723760259779738e+03
5.882175866265310000e+14,1.282647495639657409e+00,1.347003265000028982e+01,1.778809660434544867e+03
5.904838924105497500e+14,1.288940761475572572e+00,1.347003265000028982e+01,1.725266724380517189e+03
5.927501981945682500e+14,1.295175537893997308e+00,1.346003270000028884e+01,1.673940578262006966e+03
5.950165039785870000e+14,1.301350766921643975e+00,1.346003270000028884e+01,1.624844295751093568e+03
