m1_source,m2_source,chi1,chi2,dL,Lambda1,Lambda2
1.549310874189391285e+00,1.205291497411446366e+00,3.525202347488906422e-03,4.572839664080260297e-02,3.660193894796210401e+01,3.007275564541648691e+02,3.439810399228668985e+02
1.450127240132598860e+00,1.280194174738039203e+00,1.408391198258080422e-02,1.474368080489156865e-02,4.436190760249390053e+01,9.255144867206064418e+01,2.349463321638991715e+02
1.382619569500727730e+00,1.350536017325595362e+00,1.418910832694306699e-02,2.036051002163460910e-03,2.982593458219555060e+01,1.197073307128550823e+01,1.322267686077951339e+03
1.524640616765648549e+00,1.222379898609992743e+00,4.780882110131155077e-02,5.247216504484838312e-03,3.939576236596752068e+01,4.269363143298303385e+02,5.919636345061966267e+02
1.465851597836891340e+00,1.268513130256170740e+00,3.038367515373721628e-02,4.127551928094815720e-02,4.167565935583061076e+01,2.312180560746790832e+02,5.497988781202378732e+02
1.382052883746832439e+00,1.355949436882033954e+00,4.614094265520308873e-03,4.666836069139767423e-03,2.187628669921078384e+01,9.063372857873592920e+02,2.434399492278732566e+02
1.570049400113429083e+00,1.193104248614154539e+00,3.945902466864067981e-02,3.430637215935858353e-02,3.127656787103748215e+01,3.580014349376206155e+02,6.163387298202844704e+02
1.596855137036705008e+00,1.169677614053552750e+00,1.565932960418568373e-02,3.227371227271889215e-02,3.990096429432249892e+01,1.250375353361890802e+02,2.428988134948513391e+02
1.463568706639579942e+00,1.272349698584264166e+00,3.856533869830595929e-02,1.317153336394710078e-02,3.781994328655395066e+01,9.505069921639606889e+01,6.288628142821263509e+02
1.402299437459867404e+00,1.325170570997336483e+00,2.124922291740812333e-02,1.350688903323885547e-02,4.059911433845827844e+01,2.830644826648722869e+02,1.476772060284546342e+02
1.473581420762500871e+00,1.261198998317034858e+00,3.576433013594138358e-03,2.380214676886376448e-04,4.288229517041673233e+01,7.632358462399103018e+02,2.528507383378305349e+02
1.382069370458188118e+00,1.344943567924476113e+00,2.310437857526877192e-02,2.030135301522970059e-02,4.016105177283939298e+01,2.702609708839047471e+02,6.864272885195401841e+02
1.509495711949425001e+00,1.236395602616636946e+00,1.904911135842764572e-02,1.038425633894621627e-02,3.572646595077631559e+01,6.189108771586169269e+02,1.171367883727005392e+03
1.492141779952202318e+00,1.246377923873521976e+00,4.532589012375572157e-02,2.084149849842165808e-02,4.266812370570264790e+01,1.193786333254045076e+03,4.003434979254685686e+02
1.378399056118759125e+00,1.348159957539220910e+00,2.193129852364571891e-02,9.069263074996874313e-03,4.055470291305602615e+01,3.091366426785511976e+02,2.966573039287093820e+02
1.542353219833408451e+00,1.206809504234984454e+00,2.377152354010292692e-02,3.210286406981841673e-02,4.378599055610576585e+01,5.226779077744442930e+02,1.254318359948092620e+02
1.466001384285095188e+00,1.268720495508221635e+00,2.876643440459406703e-02,5.807730478985102980e-03,4.081113972520257249e+01,1.030192106702822343e+02,3.640789334604643841e+02
1.389031563121222224e+00,1.347501144379872118e+00,1.613314086777717718e-02,2.748928494766243735e-02,2.469570178407146699e+01,2.807634554313315789e+02,8.524961741410230616e+02
1.445466039864234720e+00,1.290319515159384700e+00,2.102341126095903096e-02,3.877477307143527285e-02,3.381836337557083283e+01,1.225266122105705335e+02,3.269819083716962496e+02
1.570475512454832856e+00,1.193455720377845308e+00,1.735398420461673613e-02,3.665302123824201730e-02,2.995478720786665505e+01,6.955694684550022089e+01,3.341879746566107769e+02
1.616913307656317134e+00,1.153147327114045106e+00,3.502676042767789016e-02,4.098123482080167496e-02,4.614035454031993311e+01,3.467207804617796683e+02,7.530595650890678598e+02
1.375674001793923518e+00,1.352489206524496446e+00,1.364620810015819072e-02,1.521800483574999030e-02,3.760070826948199141e+01,2.808767599912856099e+02,2.515104150806318728e+01
1.376469072451311559e+00,1.349666866090384998e+00,7.199711378757913185e-03,2.571587989107756295e-02,4.057903586341120672e+01,3.453168090477325336e+02,4.736085997153697491e+01
1.451636075293263550e+00,1.281346609277721260e+00,1.467753568441442120e-02,5.171618743758018069e-03,4.051035741087505926e+01,6.017834619619230807e+02,4.723172804653726189e+02
1.424382291333998740e+00,1.313406009041521605e+00,1.750366424057016659e-02,1.197173522158562729e-02,2.646400458764113850e+01,5.599910980462417456e+02,5.580210236559553323e+02
1.590228133977162228e+00,1.171155938536082353e+00,3.424529807392664993e-02,1.080769816855092422e-02,4.646966126587459200e+01,3.581366897477096813e+02,4.908269886876731789e+02
1.520713200429544942e+00,1.226359650463709317e+00,2.776049745767036198e-02,2.163678454779965205e-02,3.775073912407193433e+01,2.925379762321807675e+02,2.127064070187537936e+02
1.377168243391411862e+00,1.354136129466553484e+00,3.325594670782774931e-02,4.719941689767578191e-02,3.245699203960955259e+01,4.596960068621092432e+02,4.399281505513569073e+02
1.457082079212436598e+00,1.278729402771008550e+00,1.061276292941004847e-02,3.041256398515373473e-04,3.650936327036447437e+01,7.020072922527252786e+02,7.267405871965914343e+01
1.580942383227415649e+00,1.180266290018077369e+00,4.250728885348488417e-02,2.277314528710867522e-03,4.136037956212673095e+01,1.932498081711771363e+02,1.088962759067534762e+03
1.601012593719528532e+00,1.164661254810274160e+00,4.421213095692937828e-02,2.396063421608846458e-02,4.440274003775808609e+01,2.922085926578245676e+02,5.387976904648488699e+02
1.533230321849707201e+00,1.214310591132268691e+00,5.646962912517792393e-03,5.765774055908255008e-03,4.234210866477805268e+01,2.856143693712234040e+02,1.779106441430245127e+02
1.404261012565519273e+00,1.335383478675437052e+00,2.230322676498575421e-02,4.470916162708975933e-02,2.089240598514105685e+01,4.663911171661507069e+02,1.401788358980482599e+03
1.373173083912716086e+00,1.353778366533101352e+00,3.319835761522135775e-02,1.773606484201439848e-02,3.996877370719074207e+01,2.035427339313851576e+02,9.595479058474440990e+02
1.444274544627549339e+00,1.296662542806900298e+00,3.619891404921658784e-02,2.271301287348862288e-02,2.468988497394520110e+01,8.554038112260044500e+02,3.652256454369795620e+02
1.434063091980119609e+00,1.294489011155838032e+00,1.912805815868321921e-02,2.262928858398448664e-02,4.425512478616966661e+01,3.486373322639910270e+02,8.697156925844267334e+02
1.404189553779288113e+00,1.322029190167851143e+00,1.578758349933591376e-02,4.953537146115691986e-02,4.296038993487463387e+01,7.348921630445082087e+01,8.121290114394944339e+02
1.471003019719600680e+00,1.264177084224581860e+00,1.254031234095236147e-02,3.032668038846516798e-02,4.188536597120724281e+01,3.497335509101219486e+00,1.743433837222822604e+03
1.473865934526221055e+00,1.274926784332153673e+00,9.178092825806427255e-03,2.793917620718548017e-02,1.780556557851014787e+01,3.291898215205341103e+02,2.031379266022415209e+01
1.441054307280000391e+00,1.287359296600374625e+00,3.337655767386874667e-02,4.521813477809087656e-02,4.552076516928461558e+01,6.511119550942174783e+01,3.863429919279914202e+02
1.499060431910493651e+00,1.247421519175320404e+00,1.741334620224008201e-02,1.634324466035937812e-02,3.014271996610627724e+01,4.115279785500517278e+02,2.786739896009412405e+02
1.417125352598684218e+00,1.314964043925711090e+00,1.432496971887970046e-02,2.482177436513648486e-02,3.468006605940111342e+01,2.152621848347736773e+02,2.171067638766053562e+02
1.425824952241566246e+00,1.301931603924572078e+00,2.168909525850460859e-02,1.773332809145028791e-02,4.380156205504056999e+01,1.141809748100984280e+03,9.492414246130273625e+01
1.393087588209887651e+00,1.338416046079077271e+00,3.062378040944680260e-02,3.621054068106182005e-03,3.338169584961408987e+01,8.999786110171850169e+02,3.172627073595432989e+02
1.540083933421651619e+00,1.208996191849771140e+00,1.895482053770345537e-02,3.152984053612564036e-02,4.270803279571838829e+01,2.474173260550018938e+02,1.332850293164261302e+03
1.493160107734373687e+00,1.248250218911840737e+00,2.653827269797853078e-02,3.258029017136463562e-02,3.779681071429426709e+01,2.067351627769084246e+02,1.089038709562545137e+03
1.404021494676256365e+00,1.327886398684339220e+00,2.480585706376263119e-02,4.066011235725469977e-03,3.375522689157025980e+01,1.564221589070207585e+01,1.764519147062890397e+03
1.466965557101314044e+00,1.265452786369702043e+00,1.161448232486670361e-02,9.937015308746110706e-03,4.494177079845488265e+01,4.281850475537329430e+02,8.582793654316979826e+00
1.369454529317029712e+00,1.353448779925677803e+00,2.815377337722298895e-02,3.134351767213085921e-02,4.637077378544478989e+01,5.052659632514489658e+02,6.467823478538791448e+01
1.660326065083848279e+00,1.136193371021684273e+00,3.706562108520550930e-02,1.560360371012607661e-02,2.312427698215172711e+01,7.097566402423166210e+01,6.787209350602663562e+02
1.567965050124619841e+00,1.191442280795607322e+00,4.226112306369190358e-02,1.295443585614545210e-03,3.710878750315541197e+01,9.334854598130877434e+01,3.125853272257605795e+02
1.491122264894533256e+00,1.250949092151971920e+00,2.100960371498090257e-02,2.947676587785601904e-02,3.593364627937928191e+01,1.333199780793926834e+02,1.355017270971242397e+03
1.501376171154848782e+00,1.239268698514047529e+00,2.278150609377093110e-03,1.976032300094982333e-02,4.220290734455796411e+01,4.442260416334447655e+02,8.090500554674634941e+02
1.547852395383253032e+00,1.207776122920366735e+00,1.892507442430017839e-02,1.028350038970260449e-02,3.387869850691739515e+01,3.083439635639414291e+02,8.792635362819939360e+01
1.592071222022870325e+00,1.170795735811699823e+00,1.814078204673130745e-02,2.580990153125695477e-02,4.473452941318362974e+01,6.772357781243437103e+02,1.054571626896568432e+03
1.560486269356207156e+00,1.199823694322713408e+00,3.847979571230502466e-02,2.433101044228851498e-02,3.162333888808993976e+01,5.984691675973308520e+02,1.291426955615209408e+03
1.496148736604477891e+00,1.242950710273374559e+00,2.260253093792351578e-02,3.119042608093317362e-02,4.251265029765327341e+01,2.506955469702668893e+02,9.321538681827442474e+01
1.413306613876761597e+00,1.317184310446037454e+00,4.023259729312986255e-02,1.443500917233160423e-02,3.705860721020101778e+01,2.850753377376868229e+02,2.308491503913744225e+02
1.401680078321025036e+00,1.325472146724851363e+00,3.284787311055135245e-02,2.989357036243739385e-02,4.117114548109598360e+01,2.787766634816890132e+02,2.943767885098121724e+02
1.444355651211376879e+00,1.284566932202707124e+00,4.299366711760362753e-02,2.507949548131445383e-03,4.590114104977994458e+01,9.865455702770398716e+01,1.599860157513828426e+03
1.454844465698537537e+00,1.276483747294673954e+00,8.794819589473796759e-03,3.261168501453037827e-02,4.373456958494016078e+01,1.376024494285056790e+02,3.423719070018852335e+02
1.646231068312954848e+00,1.140857873331647454e+00,4.324050266335432297e-02,1.118603557737503883e-02,3.193075294640277306e+01,2.574066253234881287e+02,1.147324705951679249e+02
1.406384158923854599e+00,1.328977123256010362e+00,1.546298858055113190e-02,7.615294078115975376e-03,2.778778862651073922e+01,4.437736465663249419e+02,1.156715821770197010e+02
1.522115154031947970e+00,1.227429489924073414e+00,1.268781520195534987e-02,1.603454012368379575e-02,3.389265314224317649e+01,4.513260011946796340e+02,7.112767988384649698e+02
1.373835077838731600e+00,1.350970105530127974e+00,2.395618061968211865e-02,2.028360207935933635e-02,4.337598342213834712e+01,6.434990050421151864e+02,5.256371780045835749e+02
1.423933252968939245e+00,1.306665374795831891e+00,3.263466359403665706e-03,4.394262196802348197e-02,3.844254724975251492e+01,2.277528719562087911e+00,3.658101805083737759e+02
