rhoc,M,R,Lambda
3.528911138923655000e+14,8.217824700735386623e-01,1.497002515000045797e+01,2.026780759081769793e+04
3.556946182728410625e+14,8.307631708993115094e-01,1.496002520000045699e+01,1.917579707719189901e+04
3.584981226533166250e+14,8.396111351961054181e-01,1.495002525000045601e+01,1.816595312607238884e+04
3.613016270337922500e+14,8.483233863920646156e-01,1.494002530000045503e+01,1.722953199426925130e+04
3.641051314142678750e+14,8.571904559501462018e-01,1.494002530000045503e+01,1.633166502750934887e+04
3.669086357947434375e+14,8.660780571147392859e-01,1.493002535000045405e+01,1.548558178541457892e+04
3.697121401752190000e+14,8.748373791921070231e-01,1.492002540000045130e+01,1.469928763480553971e+04
3.725156445556946250e+14,8.834623695163735801e-01,1.491002545000045032e+01,1.396929585764530202e+04
3.753191489361702500e+14,8.920801236497605258e-01,1.491002545000045032e+01,1.328011054434748985e+04
3.781226533166458125e+14,9.008848674301012105e-01,1.490002550000044934e+01,1.261558540461330267e+04
3.809261576971213750e+14,9.095637778374137117e-01,1.489002555000044836e+01,1.199742542868484088e+04
3.837296620775970000e+14,9.181139565990331652e-01,1.489002555000044836e+01,1.142094929269034765e+04
3.865331664580726250e+14,9.265449294514487288e-01,1.488002560000044738e+01,1.088324628254498020e+04
3.893366708385481875e+14,9.351579629697773788e-01,1.487002565000044640e+01,1.036279684413456562e+04
3.921401752190237500e+14,9.437616436494434824e-01,1.487002565000044640e+01,9.870890202709439109e+03
3.949436795994993750e+14,9.522426098120920779e-01,1.486002570000044543e+01,9.411189726540007541e+03
3.977471839799750000e+14,9.605997826226898573e-01,1.485002575000044445e+01,8.981622040262422161e+03
4.005506883604505625e+14,9.688613055034416277e-01,1.485002575000044445e+01,8.578515976044342096e+03
4.033541927409261875e+14,9.773954391121529861e-01,1.484002580000044347e+01,8.183180754857876309e+03
4.061576971214017500e+14,9.858125451532409045e-01,1.483002585000044249e+01,7.812983646661607963e+03
4.089612015018773750e+14,9.941110651218643124e-01,1.483002585000044249e+01,7.466240424212117432e+03
4.117647058823529375e+14,1.002289137495031790e+00,1.482002590000044151e+01,7.141194439227653675e+03
4.145682102628285625e+14,1.010427107051812046e+00,1.481002595000044053e+01,6.833080850888302848e+03
4.173717146433041250e+14,1.018786702138895439e+00,1.481002595000044053e+01,6.532051761857153906e+03
4.201752190237797500e+14,1.027028369278796260e+00,1.480002600000043778e+01,6.249620927692031728e+03
4.229787234042553750e+14,1.035154760918048478e+00,1.479002605000043680e+01,5.984269615902504484e+03
4.257822277847309375e+14,1.043163053498723292e+00,1.479002605000043680e+01,5.735056273881018569e+03
4.285857321652065000e+14,1.051133968040339539e+00,1.478002610000043582e+01,5.498191355512816699e+03
4.313892365456821250e+14,1.059323510161580773e+00,1.478002610000043582e+01,5.266015924678667943e+03
4.341927409261577500e+14,1.067403846905435660e+00,1.477002615000043484e+01,5.047559605248619846e+03
4.369962453066333125e+14,1.075369147226324262e+00,1.476002620000043386e+01,4.841859759281234801e+03
4.397997496871088750e+14,1.083221993490505186e+00,1.476002620000043386e+01,4.648107382317213705e+03
4.426032540675845000e+14,1.090964758978603566e+00,1.475002625000043288e+01,4.465396721209986936e+03
4.454067584480601250e+14,1.098998895408139997e+00,1.474002630000043190e+01,4.283977101505559403e+03
4.482102628285356875e+14,1.106925607646873866e+00,1.474002630000043190e+01,4.113030030751580853e+03
4.510137672090112500e+14,1.114740799659909021e+00,1.473002635000043092e+01,3.951556883655259753e+03
4.538172715894868750e+14,1.122449885234317213e+00,1.473002635000043092e+01,3.799314914938235233e+03
4.566207759699625000e+14,1.130047608275422277e+00,1.472002640000042994e+01,3.655352961665043495e+03
4.594242803504380625e+14,1.137803733503988779e+00,1.471002645000042897e+01,3.514615622276024624e+03
4.622277847309136250e+14,1.145588289214113598e+00,1.471002645000042897e+01,3.379201870790104294e+03
4.650312891113892500e+14,1.153264715404602736e+00,1.470002650000042799e+01,3.251232294034644838e+03
4.678347934918648750e+14,1.160840246089656969e+00,1.469002655000042701e+01,3.130069065025539203e+03
4.706382978723404375e+14,1.168310085623517791e+00,1.469002655000042701e+01,3.015429748093883063e+03
4.734418022528160000e+14,1.175717318564140301e+00,1.468002660000042603e+01,2.906199110082150582e+03
4.762453066332916250e+14,1.183365887704213915e+00,1.467002665000042327e+01,2.797855201856391886e+03
4.790488110137672500e+14,1.190918972361925343e+00,1.467002665000042327e+01,2.695208435649569765e+03
4.818523153942428125e+14,1.198371458299218872e+00,1.466002670000042230e+01,2.597862366552598814e+03
4.846558197747183750e+14,1.205715682784461062e+00,1.465002675000042132e+01,2.505660064051461632e+03
4.874593241551940000e+14,1.212954936947511442e+00,1.465002675000042132e+01,2.418150017411904628e+03
4.902628285356696250e+14,1.220251197640236374e+00,1.464002680000042034e+01,2.333302989023320151e+03
4.930663329161451875e+14,1.227684111714455018e+00,1.464002680000042034e+01,2.250309043638621006e+03
4.958698372966207500e+14,1.235012628031496584e+00,1.463002685000041936e+01,2.171338661908114773e+03
4.986733416770963750e+14,1.242244684913286212e+00,1.462002690000041838e+01,2.096418752102783401e+03
5.014768460575720000e+14,1.249380046092641638e+00,1.462002690000041838e+01,2.025287094008420581e+03
5.042803504380475625e+14,1.256416033488834127e+00,1.461002695000041740e+01,1.957565882857492397e+03
5.070838548185231875e+14,1.263528498353478469e+00,1.460002700000041642e+01,1.891609270605937127e+03
5.098873591989987500e+14,1.270747709888643495e+00,1.460002700000041642e+01,1.827025458625658302e+03
5.126908635794743750e+14,1.277869520851749874e+00,1.459002705000041544e+01,1.765641862815715740e+03
5.154943679599500000e+14,1.284903006226148836e+00,1.458002710000041446e+01,1.707237801251976180e+03
5.182978723404255625e+14,1.291832997892380375e+00,1.458002710000041446e+01,1.651592646827685712e+03
5.211013767209011250e+14,1.298674521061757403e+00,1.457002715000041349e+01,1.598583760184507810e+03
5.239048811013767500e+14,1.305543495877679039e+00,1.456002720000041251e+01,1.547136757291999402e+03
5.267083854818523750e+14,1.312574697422504322e+00,1.456002720000041251e+01,1.496440916503047674e+03
5.295118898623279375e+14,1.319490993461568618e+00,1.455002725000041153e+01,1.447976453660325433e+03
5.323153942428035000e+14,1.326340581192736456e+00,1.454002730000040877e+01,1.401907078782860708e+03
5.351188986232791250e+14,1.333084103893943828e+00,1.453002735000040779e+01,1.357951827356190506e+03
5.379224030037547500e+14,1.339744984810016248e+00,1.453002735000040779e+01,1.316006077427399305e+03
5.407259073842303125e+14,1.346319529987285657e+00,1.452002740000040681e+01,1.275874005678146659e+03
5.435294117647058750e+14,1.353148753919659830e+00,1.451002745000040584e+01,1.235553182507053407e+03
5.463329161451815000e+14,1.359896509097740402e+00,1.451002745000040584e+01,1.197008380465684695e+03
5.491364205256571250e+14,1.366562873015553237e+00,1.450002750000040486e+01,1.160258521866888032e+03
5.519399249061326875e+14,1.373134565284040987e+00,1.449002755000040388e+01,1.125150558803596823e+03
5.547434292866082500e+14,1.379618309097072171e+00,1.449002755000040388e+01,1.091570090209932459e+03
5.575469336670838750e+14,1.386019687735285277e+00,1.448002760000040290e+01,1.059448937218844776e+03
5.603504380475595000e+14,1.392493509404614693e+00,1.447002765000040192e+01,1.027962846370185162e+03
5.631539424280350000e+14,1.399068560511296910e+00,1.446002770000040094e+01,9.969828109311712296e+02
5.659574468085107500e+14,1.405560984118952472e+00,1.446002770000040094e+01,9.673529766866569162e+02
5.687609511889862500e+14,1.411967352695798539e+00,1.445002775000039996e+01,9.390032400757409050e+02
5.715644555694618750e+14,1.418294652740814676e+00,1.444002780000039898e+01,9.118725647310112663e+02
5.743679599499375000e+14,1.424533318892159617e+00,1.443002785000039800e+01,8.858982622459072900e+02
5.771714643304130000e+14,1.430688828029210047e+00,1.443002785000039800e+01,8.610206593134204240e+02
5.799749687108886250e+14,1.436999484457704757e+00,1.442002790000039703e+01,8.362372330010630321e+02
5.827784730913642500e+14,1.443333811203939776e+00,1.441002795000039427e+01,8.121614357127405128e+02
5.855819774718397500e+14,1.449579384476175070e+00,1.441002795000039427e+01,7.890542782311532619e+02
5.883854818523155000e+14,1.455752291559344158e+00,1.440002800000039329e+01,7.669210048058748725e+02
5.911889862327910000e+14,1.461839398112521282e+00,1.439002805000039231e+01,7.456829474440415879e+02
5.939924906132666250e+14,1.467854506962362082e+00,1.438002810000039133e+01,7.253448745101238728e+02
5.967959949937422500e+14,1.473789730437083501e+00,1.438002810000039133e+01,7.058156357876766833e+02
5.995994993742177500e+14,1.479863749574240162e+00,1.437002815000039035e+01,6.863674911340908693e+02
6.024030037546933750e+14,1.485965781280376596e+00,1.436002820000038938e+01,6.673945518008010822e+02
6.052065081351690000e+14,1.491981789130854441e+00,1.435002825000038840e+01,6.491772065739000936e+02
